"","region_name","region_id","score","coverage","CurbRamp","NoCurbRamp","Obstacle","SurfaceProblem","CurbRampSig","NoCurbRampSig","ObstacleSig","SurfaceProblemSig","id","latitude","longitude","http","SizeRank","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","X2015.11","X2015.12","X2016.01","X2016.02","X2016.03","X2016.04","X2016.05","X2016.06","X2016.07","X2016.08","X2016.09","X2016.10","X2016.11","X2016.12","X2017.01","X2017.02","X2017.03","X2017.04","X2017.05"
"1","Adams Morgan",198,0.999522781526356,1,10.4117647058824,0.558823529411765,2.08823529411765,0.117647058823529,1,-1,-1,-1,121668,38.92119,-77.043406,"http://www.zillow.com/local-info/DC-Washington/Adams-Morgan/r_121668/",633,529,533,537,543,550,555,557,559,563,566,567,568,569,569,569,570,570,571,571,571,572,574,577,581,587,592,594,594,594,595,596,595,595,595,597,600,603,604,604,607,609,611,614,623,633,637,634,630
"2","American University Park",195,0.957738151306052,0.183544303797468,4.91379310344828,0.844827586206897,0.206896551724138,0.741379310344828,1,-1,-1,-1,272818,38.94611,-77.088086,"http://www.zillow.com/local-info/DC-Washington/American-University-Park/r_272818/",1169,508,512,516,520,524,527,528,530,533,535,538,539,540,541,543,543,544,545,547,549,551,555,560,565,570,574,575,575,577,579,578,578,579,580,583,589,594,596,598,602,605,609,613,619,625,630,628,625
"3","Barnaby Woods",218,0.613823909007632,0.18552036199095,2.82926829268293,0.902439024390244,0.853658536585366,0.609756097560976,1,-1,-1,-1,121672,38.975131,-77.05778,"http://www.zillow.com/local-info/DC-Washington/Barnaby-Woods/r_121672/",4352,452,455,458,461,466,469,470,471,471,473,475,479,482,484,485,487,490,491,493,494,495,498,502,508,513,517,518,517,515,515,516,516,515,513,513,514,514,515,516,518,519,521,524,529,535,537,531,526
"4","Bellevue",364,0.92679451594904,0.549295774647887,10.8717948717949,3.64102564102564,1.97435897435897,2.71794871794872,1,-1,-1,-1,121674,38.820861,-77.014893,"http://www.zillow.com/local-info/DC-Washington/Bellevue/r_121674/",2147,163,161,161,162,163,164,165,167,170,175,179,180,181,184,188,191,195,201,205,209,212,214,215,219,220,221,218,216,216,218,218,218,219,221,223,229,237,242,243,245,248,250,251,255,263,269,270,270
"5","Benning",340,0.978977370836112,0.536585365853659,9.34090909090909,2.84090909090909,2.15909090909091,0.5,1,-1,-1,-1,121675,38.892429,-76.945276,"http://www.zillow.com/local-info/DC-Washington/Benning/r_121675/",4534,168,170,170,171,174,177,178,178,179,181,183,185,188,191,193,194,196,196,196,195,194,193,192,193,196,200,206,209,211,211,210,209,211,214,219,226,230,230,229,231,234,237,241,247,253,256,258,259
"6","Benning Ridge",315,0.741840290488837,1,6.27777777777778,4.57407407407407,0.0185185185185185,0.62962962962963,1,-1,-1,-1,403493,38.881315,-76.938332,"http://www.zillow.com/local-info/DC-Washington/Benning-Ridge/r_403493/",1915,167,169,172,175,178,181,182,182,182,184,187,190,193,195,199,203,207,209,210,209,210,213,218,222,225,228,231,234,237,238,239,240,242,245,249,250,252,255,259,264,267,272,280,289,297,299,298,297
"7","Bloomingdale",271,0.865720233090679,0.318840579710145,3.81818181818182,0.454545454545455,0.545454545454545,0.954545454545455,1,-1,-1,-1,121677,38.91656,-77.012884,"http://www.zillow.com/local-info/DC-Washington/Bloomingdale/r_121677/",2367,351,354,357,363,369,376,382,386,389,394,399,403,406,409,414,419,422,425,426,428,431,435,436,439,444,448,450,451,458,465,467,466,468,470,469,468,470,474,480,483,486,491,497,503,512,519,519,518
"8","Brentwood",277,0.998761119761227,0.669117647058823,11.1648351648352,1.34065934065934,2.18681318681319,0.945054945054945,1,-1,-1,-1,268803,38.917262,-76.989818,"http://www.zillow.com/local-info/DC-Washington/Brentwood/r_268803/",2656,202,205,208,211,214,216,217,219,222,224,226,229,233,237,240,242,244,247,250,253,257,261,268,279,289,297,307,316,322,324,328,331,334,336,336,335,335,338,342,345,349,353,356,356,354,356,362,365
"9","Brightwood",268,0.99834823101592,0.5,8.42553191489362,1,0.553191489361702,0.468085106382979,1,-1,-1,-1,121679,38.964153,-77.036887,"http://www.zillow.com/local-info/DC-Washington/Brightwood/r_121679/",1220,301,303,307,311,316,324,330,334,337,341,344,346,349,352,356,359,360,361,360,359,359,363,370,379,387,390,390,389,389,388,390,392,394,397,398,398,398,402,405,412,422,430,433,435,440,443,440,437
"10","Brightwood Park",325,0.996490089475276,0.37,8.35135135135135,1.86486486486486,0.189189189189189,0.648648648648649,1,-1,-1,-1,121680,38.958555,-77.021391,"http://www.zillow.com/local-info/DC-Washington/Brightwood-Park/r_121680/",3695,277,283,290,295,299,304,309,314,320,324,328,331,334,337,339,340,340,341,342,342,343,346,349,354,359,361,361,363,368,374,377,378,380,382,384,388,391,393,396,398,400,404,407,414,422,427,426,424
