REPORT_DAT,SHIFT,OFFENSE,METHOD,addresses,lon,lat,geoaddress,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE,geoAddress
1/30/17 15:05,EVENING,MOTOR VEHICLE THEFT,OTHERS,"200 WAYNE PLACE SE, WASHINGTON, DC",-77.0028143,38.8339182,NA,7,707,8,8C,Cluster 39,009803 2,9803,Precinct 124,17017011,399847,129648,1/29/17 15:30,1/30/17 10:30,"200 wayne pl se, washington, dc 20032, usa"
10/10/16 14:20,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,"200 WAYNE PLACE SE, WASHINGTON, DC",-77.0028143,38.8339182,NA,7,707,8,8C,Cluster 39,009803 2,9803,Precinct 124,16172234,399847,129648,10/10/16 13:25,,"200 wayne pl se, washington, dc 20032, usa"
7/1/16 23:06,MIDNIGHT,SEX ABUSE,OTHERS,"200 WAYNE PLACE SE, WASHINGTON, DC",-77.0028143,38.8339182,NA,7,707,8,8C,Cluster 39,009803 2,9803,Precinct 124,16108439,399847,129648,7/1/16 6:00,7/1/16 7:00,"200 wayne pl se, washington, dc 20032, usa"
5/19/17 13:13,DAY,MOTOR VEHICLE THEFT,OTHERS,"200 WEBSTER STREET NE, WASHINGTON, DC",-77.0037051,38.9439037,NA,4,405,5,5A,Cluster 19,009501 3,9501,Precinct 44,17083272,399717,141728,5/18/17 2:23,5/18/17 13:06,"200 webster st ne, washington, dc 20011, usa"
1/8/17 9:10,DAY,THEFT F/AUTO,OTHERS,"200 WILMINGTON PLACE SE, WASHINGTON, DC",-77.0021339,38.8363071,NA,7,707,8,8C,Cluster 39,009803 3,9803,Precinct 124,17004188,399832,129812,1/7/17 16:30,1/8/17 8:30,"200 wilmington pl se, washington, dc 20032, usa"
10/8/16 6:15,MIDNIGHT,ROBBERY,GUN,"200 WILMINGTON PLACE SE, WASHINGTON, DC",-77.0021339,38.8363071,NA,7,707,8,8C,Cluster 39,009803 3,9803,Precinct 124,16170946,399832,129812,10/8/16 5:00,10/8/16 5:02,"200 wilmington pl se, washington, dc 20032, usa"
9/2/16 5:46,MIDNIGHT,THEFT F/AUTO,OTHERS,"200 WILMINGTON PLACE SE, WASHINGTON, DC",-77.0021339,38.8363071,NA,7,707,8,8C,Cluster 39,009803 3,9803,Precinct 124,16147904,399832,129812,9/2/16 5:13,,"200 wilmington pl se, washington, dc 20032, usa"
6/5/17 22:57,EVENING,THEFT F/AUTO,OTHERS,"2000  PARK ROAD NW, WASHINGTON, DC",-77.0456164,38.9335642,NA,4,408,4,4A,Cluster 18,002600 1,2600,Precinct 47,17095662,395893,141011,6/5/17 21:40,6/5/17 22:30,"2000 park rd nw, washington, dc 20010, usa"
5/17/17 11:58,DAY,MOTOR VEHICLE THEFT,OTHERS,"2000  PARK ROAD NW, WASHINGTON, DC",-77.0456164,38.9335642,NA,4,408,4,4A,Cluster 18,002600 1,2600,Precinct 47,17082504,395893,141011,5/5/17 22:00,5/17/17 10:45,"2000 park rd nw, washington, dc 20010, usa"
4/29/17 21:37,EVENING,BURGLARY,OTHERS,"2000  PARK ROAD NW, WASHINGTON, DC",-77.0456164,38.9335642,NA,4,408,4,4A,Cluster 18,002600 1,2600,Precinct 47,17071076,395893,141011,4/29/17 19:40,4/29/17 19:47,"2000 park rd nw, washington, dc 20010, usa"
4/1/17 17:19,EVENING,THEFT/OTHER,OTHERS,"2000  PARK ROAD NW, WASHINGTON, DC",-77.0456164,38.9335642,NA,4,408,4,4A,Cluster 18,002600 1,2600,Precinct 47,17053022,395893,141011,4/1/17 15:25,4/1/17 15:26,"2000 park rd nw, washington, dc 20010, usa"
