"REPORT_DAT","SHIFT","OFFENSE","METHOD","addresses","lon","lat","geoaddress","DISTRICT","PSA","WARD","ANC","NEIGHBORHOOD_CLUSTER","BLOCK_GROUP","CENSUS_TRACT","VOTING_PRECINCT","CCN","XBLOCK","YBLOCK","START_DATE","END_DATE","geoAddress"
"4/3/2017 10:23","DAY","THEFT/OTHER","OTHERS","300  EMERSON STREET NW, WASHINGTON, DC",-77.015978,38.9498052,NA,4,407,4,"4D","Cluster 18","002202 3",2202,"Precinct 55",17053929,398557,142460,"4/3/2017 9:02","4/3/2017 10:22","300 emerson st nw, washington, dc 20011, usa"
"12/9/2016 21:39","EVENING","THEFT/OTHER","OTHERS","300  EMERSON STREET NW, WASHINGTON, DC",-77.015978,38.9498052,NA,4,407,4,"4D","Cluster 18","002202 3",2202,"Precinct 55",16208504,398557,142460,"12/9/2016 20:17","12/9/2016 20:18","300 emerson st nw, washington, dc 20011, usa"
"2/17/2017 8:42","DAY","THEFT/OTHER","OTHERS","300  FARRAGUT STREET NW, WASHINGTON, DC",-77.015836,38.951135,NA,4,407,4,"4D","Cluster 18","002202 3",2202,"Precinct 55",17027232,398552,142578,"2/16/2017 19:00","2/17/2017 7:50","300 farragut st nw, washington, dc 20011, usa"
"9/8/2016 17:51","EVENING","MOTOR VEHICLE THEFT","OTHERS","300  FARRAGUT STREET NW, WASHINGTON, DC",-77.015836,38.951135,NA,4,407,4,"4D","Cluster 18","002202 3",2202,"Precinct 55",16152002,398552,142578,"9/7/2016 21:30","9/8/2016 4:45","300 farragut st nw, washington, dc 20011, usa"
"8/10/2016 21:15","EVENING","THEFT F/AUTO","OTHERS","300  FARRAGUT STREET NW, WASHINGTON, DC",-77.015836,38.951135,NA,4,407,4,"4D","Cluster 18","002202 3",2202,"Precinct 55",16133673,398552,142578,"8/10/2016 16:10","8/10/2016 18:19","300 farragut st nw, washington, dc 20011, usa"
"6/3/2017 9:20","DAY","MOTOR VEHICLE THEFT","OTHERS","300  GALLATIN STREET NW, WASHINGTON, DC",-77.0161791,38.9520297,NA,4,403,4,"4D","Cluster 18","002202 3",2202,"Precinct 57",17093903,398548,142696,"6/2/2017 20:30","6/3/2017 8:15","300 gallatin st nw, washington, dc 20011, usa"
"5/17/2017 19:40","EVENING","THEFT F/AUTO","OTHERS","300  GALLATIN STREET NW, WASHINGTON, DC",-77.0161791,38.9520297,NA,4,407,4,"4D","Cluster 18","002202 3",2202,"Precinct 57",17082620,398548,142696,"5/17/2017 11:00","5/17/2017 11:10","300 gallatin st nw, washington, dc 20011, usa"
"8/19/2016 11:44","DAY","THEFT F/AUTO","OTHERS","300  GALLATIN STREET NW, WASHINGTON, DC",-77.0161791,38.9520297,NA,4,403,4,"4D","Cluster 18","002202 3",2202,"Precinct 57",16401712,398548,142696,"8/18/2016 2:35","8/18/2016 3:00","300 gallatin st nw, washington, dc 20011, usa"
"5/13/2017 14:57","DAY","MOTOR VEHICLE THEFT","OTHERS","300  HAMILTON STREET NW, WASHINGTON, DC",-77.0162322,38.9530881,NA,4,403,4,"4D","Cluster 18","002102 5",2102,"Precinct 57",17080021,398546,142814,"5/9/2017 19:30","5/13/2017 11:40","300 hamilton st nw, washington, dc 20011, usa"
"9/21/2016 4:26","MIDNIGHT","THEFT F/AUTO","OTHERS","300  HAMILTON STREET NW, WASHINGTON, DC",-77.0162322,38.9530881,NA,4,403,4,"4D","Cluster 18","002102 5",2102,"Precinct 57",16160135,398546,142814,"9/20/2016 21:00","9/21/2016 4:00","300 hamilton st nw, washington, dc 20011, usa"
"3/23/2017 13:41","DAY","BURGLARY","OTHERS","300  JEFFERSON STREET NW, WASHINGTON, DC",-77.0160633,38.9554993,NA,4,403,4,"4D","Cluster 18","002102 6",2102,"Precinct 57",17047283,398534,143062,"3/23/2017 11:50","","300 jefferson st nw, washington, dc 20011, usa"
"8/30/2016 10:57","DAY","THEFT F/AUTO","OTHERS","300  JEFFERSON STREET NW, WASHINGTON, DC",-77.0160633,38.9554993,NA,4,403,4,"4D","Cluster 18","002102 6",2102,"Precinct 57",16146084,398534,143062,"8/30/2016 9:50","8/30/2016 10:07","300 jefferson st nw, washington, dc 20011, usa"
"3/27/2017 23:03","MIDNIGHT","THEFT F/AUTO","OTHERS","300  KENNEDY STREET NW, WASHINGTON, DC",-77.0163071,38.9563501,NA,4,403,4,"4D","Cluster 18","002102 6",2102,"Precinct 57",17049922,398529,143180,"3/27/2017 17:50","3/27/2017 18:40","300 kennedy st nw, washington, dc 20011, usa"
"2/15/2017 16:34","EVENING","THEFT F/AUTO","OTHERS","300  KENNEDY STREET NW, WASHINGTON, DC",-77.0163071,38.9563501,NA,4,403,4,"4D","Cluster 18","002102 6",2102,"Precinct 57",17026310,398529,143180,"2/15/2017 15:50","2/15/2017 16:00","300 kennedy st nw, washington, dc 20011, usa"
"1/17/2017 18:46","EVENING","THEFT F/AUTO","OTHERS","300  KENNEDY STREET NW, WASHINGTON, DC",-77.0163071,38.9563501,NA,4,403,4,"4D","Cluster 18","002102 6",2102,"Precinct 57",17009475,398529,143180,"1/17/2017 17:45","","300 kennedy st nw, washington, dc 20011, usa"
"7/25/2016 13:48","DAY","THEFT F/AUTO","OTHERS","300  KENNEDY STREET NW, WASHINGTON, DC",-77.0163071,38.9563501,NA,4,403,4,"4D","Cluster 18","002102 6",2102,"Precinct 57",16123353,398529,143180,"7/25/2016 11:30","7/25/2016 13:00","300 kennedy st nw, washington, dc 20011, usa"
"9/16/2016 17:33","EVENING","THEFT/OTHER","OTHERS","300  MISSOURI AVENUE NW, WASHINGTON, DC",-77.0164041,38.9569292,NA,4,403,4,"4D","Cluster 18","002102 6",2102,"Precinct 57",16157192,398557,143261,"11/1/2013 8:00","6/30/2016 20:00","300 missouri ave nw, washington, dc 20011, usa"
"4/26/2017 7:52","DAY","THEFT F/AUTO","OTHERS","300  NICHOLSON STREET NE, WASHINGTON, DC",-77.0027478,38.9605111,NA,4,406,4,"4B","Cluster 19","009505 3",9505,"Precinct 65",17068416,399834,143623,"4/25/2017 7:13","4/26/2017 7:52","300 nicholson st ne, washington, dc 20011, usa"
"12/26/2016 22:36","EVENING","THEFT F/AUTO","OTHERS","300  NICHOLSON STREET NE, WASHINGTON, DC",-77.0027478,38.9605111,NA,4,406,4,"4B","Cluster 19","009505 3",9505,"Precinct 65",16217900,399834,143623,"12/26/2016 13:00","12/26/2016 21:30","300 nicholson st ne, washington, dc 20011, usa"
"11/15/2016 21:30","EVENING","THEFT F/AUTO","OTHERS","300  NICHOLSON STREET NE, WASHINGTON, DC",-77.0027478,38.9605111,NA,4,406,4,"4B","Cluster 19","009505 3",9505,"Precinct 65",16194876,399834,143623,"11/15/2016 19:00","11/15/2016 21:00","300 nicholson st ne, washington, dc 20011, usa"
"10/5/2016 14:08","DAY","THEFT F/AUTO","OTHERS","300  NICHOLSON STREET NW, WASHINGTON, DC",-77.0164814,38.9600219,NA,4,402,4,"4B","Cluster 17","001902 1",1902,"Precinct 64",16169151,398558,143584,"10/4/2016 15:30","10/5/2016 8:00","300 nicholson st nw, washington, dc 20011, usa"
"5/4/2017 12:59","DAY","THEFT F/AUTO","OTHERS","300  OGLETHORPE STREET NE, WASHINGTON, DC",-77.0027484,38.9612793,NA,4,406,4,"4B","Cluster 19","009505 3",9505,"Precinct 65",17074063,399836,143706,"5/4/2017 12:22","5/4/2017 12:59","300 oglethorpe st ne, washington, dc 20011, usa"
"2/14/2017 14:18","DAY","ROBBERY","OTHERS","300  OGLETHORPE STREET NE, WASHINGTON, DC",-77.0027484,38.9612793,NA,4,406,4,"4B","Cluster 19","009505 3",9505,"Precinct 65",17025677,399836,143706,"2/14/2017 13:15","2/14/2017 14:18","300 oglethorpe st ne, washington, dc 20011, usa"
"5/24/2017 14:25","DAY","ASSAULT W/DANGEROUS WEAPON","KNIFE","300  ONEIDA STREET NE, WASHINGTON, DC",-77.0027631,38.9620058,NA,4,406,4,"4B","Cluster 19","009505 1",9505,"Precinct 65",17087202,399919,143788,"5/24/2017 13:32","","300 oneida st ne, washington, dc 20011, usa"
