REPORT_DAT,SHIFT,OFFENSE,METHOD,addresses,lon,lat,geoaddress,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE,geoAddress
9/7/16 14:21,DAY,THEFT F/AUTO,OTHERS,"1000 VARNUM STREET NE, WASHINGTON, DC",-76.992749,38.943224,NA,4,405,5,5B,Cluster 20,009504 2,9504,Precinct 67,16151085,400742,141663,9/6/16 23:00,9/7/16 7:00,"1000 varnum st ne, washington, dc 20017, usa"
9/7/16 9:54,DAY,THEFT F/AUTO,OTHERS,"1000 VARNUM STREET NE, WASHINGTON, DC",-76.992749,38.943224,NA,4,405,5,5B,Cluster 20,009504 2,9504,Precinct 67,16151077,400742,141663,9/6/16 23:00,9/7/16 7:00,"1000 varnum st ne, washington, dc 20017, usa"
9/4/16 21:48,EVENING,THEFT/OTHER,OTHERS,"1000 VARNUM STREET NE, WASHINGTON, DC",-76.992749,38.943224,NA,4,405,5,5B,Cluster 20,009504 2,9504,Precinct 67,16149652,400742,141663,8/31/16 14:00,8/31/16 20:00,"1000 varnum st ne, washington, dc 20017, usa"
9/2/16 14:31,DAY,THEFT/OTHER,OTHERS,"1000 VARNUM STREET NE, WASHINGTON, DC",-76.992749,38.943224,NA,4,405,5,5B,Cluster 20,009504 2,9504,Precinct 67,16148126,400742,141663,8/30/16 15:00,9/2/16 14:31,"1000 varnum st ne, washington, dc 20017, usa"
7/30/16 0:31,MIDNIGHT,THEFT/OTHER,OTHERS,"1000 VARNUM STREET NE, WASHINGTON, DC",-76.992749,38.943224,NA,4,405,5,5B,Cluster 20,009504 2,9504,Precinct 67,16126358,400742,141663,7/29/16 22:30,7/30/16 0:31,"1000 varnum st ne, washington, dc 20017, usa"
7/22/16 13:19,DAY,THEFT F/AUTO,OTHERS,"1000 VARNUM STREET NE, WASHINGTON, DC",-76.992749,38.943224,NA,4,405,5,5B,Cluster 20,009504 2,9504,Precinct 67,16401489,400742,141663,7/20/16 7:50,7/20/16 8:50,"1000 varnum st ne, washington, dc 20017, usa"
7/8/16 20:02,EVENING,THEFT/OTHER,OTHERS,"1000 VARNUM STREET NE, WASHINGTON, DC",-76.992749,38.943224,NA,4,405,5,5B,Cluster 20,009504 2,9504,Precinct 67,16112844,400742,141663,7/5/16 9:30,,"1000 varnum st ne, washington, dc 20017, usa"
6/30/16 13:23,DAY,THEFT F/AUTO,OTHERS,"1000 VARNUM STREET NE, WASHINGTON, DC",-76.992749,38.943224,NA,4,405,5,5B,Cluster 20,009504 2,9504,Precinct 67,16107457,400742,141663,6/30/16 9:00,6/30/16 12:30,"1000 varnum st ne, washington, dc 20017, usa"
4/9/17 3:06,MIDNIGHT,THEFT/OTHER,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,17057662,397101,137254,4/9/17 0:28,4/9/17 2:01,"1000 vermont ave nw, washington, dc 20005, usa"
3/15/17 13:55,DAY,MOTOR VEHICLE THEFT,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,17042311,397101,137254,2/2/17 12:00,,"1000 vermont ave nw, washington, dc 20005, usa"
12/29/16 16:43,EVENING,THEFT F/AUTO,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16219348,397101,137254,12/29/16 12:30,12/29/16 13:00,"1000 vermont ave nw, washington, dc 20005, usa"
12/27/16 18:39,EVENING,THEFT/OTHER,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16218309,397101,137254,12/27/16 16:40,12/27/16 16:47,"1000 vermont ave nw, washington, dc 20005, usa"
12/27/16 9:00,DAY,BURGLARY,OTHERS,"1000 VERMONT AVENUE NW, WASHINGTON, DC",-77.033934,38.902866,NA,2,207,2,2F,Cluster 8,010100 1,10100,Precinct 129,16218034,397101,137254,12/23/16 18:00,12/27/16 6:30,"1000 vermont ave nw, washington, dc 20005, usa"
