region_name,id,latitude,longitude,http
Columbia Heights,121697,38.928257,-77.029264,http://www.zillow.com/local-info/DC-Washington/Columbia-Heights/r_121697/
Capitol Hill,121685,38.887156,-76.998955,http://www.zillow.com/local-info/DC-Washington/Capitol-Hill/r_121685/
Petworth,121774,38.946405,-77.018236,http://www.zillow.com/local-info/DC-Washington/Petworth/r_121774/
Adams Morgan,121668,38.92119,-77.043406,http://www.zillow.com/local-info/DC-Washington/Adams-Morgan/r_121668/
Washington Highlands,121806,38.83075,-76.990587,http://www.zillow.com/local-info/DC-Washington/Washington-Highlands/r_121806/
Logan Circle,121754,38.908555,-77.030269,http://www.zillow.com/local-info/DC-Washington/Logan-Circle/r_121754/
Dupont Circle,121704,38.911105,-77.042614,http://www.zillow.com/local-info/DC-Washington/Dupont-Circle/r_121704/
Sixteenth Street Heights,403481,38.949073,-77.031554,http://www.zillow.com/local-info/DC-Washington/Sixteenth-Street-Heights/r_403481/
Georgetown,121729,38.908753,-77.064209,http://www.zillow.com/local-info/DC-Washington/Georgetown/r_121729/
Foggy Bottom,121716,38.898292,-77.048467,http://www.zillow.com/local-info/DC-Washington/Foggy-Bottom/r_121716/
Chevy Chase,121689,38.962204,-77.062898,http://www.zillow.com/local-info/DC-Washington/Chevy-Chase/r_121689/
Mount Pleasant,121762,38.930723,-77.042795,http://www.zillow.com/local-info/DC-Washington/Mount-Pleasant/r_121762/
Kingman Park,121745,38.89223,-76.972977,http://www.zillow.com/local-info/DC-Washington/Kingman-Park/r_121745/
Shaw,121785,38.914115,-77.02598,http://www.zillow.com/local-info/DC-Washington/Shaw/r_121785/
American University Park,272818,38.94611,-77.088086,http://www.zillow.com/local-info/DC-Washington/American-University-Park/r_272818/
Brightwood,121679,38.964153,-77.036887,http://www.zillow.com/local-info/DC-Washington/Brightwood/r_121679/
Shipley Terrace,121788,38.844437,-76.979858,http://www.zillow.com/local-info/DC-Washington/Shipley-Terrace/r_121788/
Cleveland Park,121693,38.93618,-77.062132,http://www.zillow.com/local-info/DC-Washington/Cleveland-Park/r_121693/
Near Northeast,403487,38.902906,-76.993539,http://www.zillow.com/local-info/DC-Washington/Near-Northeast/r_403487/
Manor Park,121755,38.96355,-77.01849,http://www.zillow.com/local-info/DC-Washington/Manor-Park/r_121755/
Southwest Waterfront,275465,38.871868,-77.018156,http://www.zillow.com/local-info/DC-Washington/Southwest-Waterfront/r_275465/
Riggs Park,121779,38.962306,-77.00026,http://www.zillow.com/local-info/DC-Washington/Riggs-Park/r_121779/
Catholic University,273159,38.934739,-77.003816,http://www.zillow.com/local-info/DC-Washington/Catholic-University/r_273159/
Glover Park,121731,38.921642,-77.077277,http://www.zillow.com/local-info/DC-Washington/Glover-Park/r_121731/
Brookland,121681,38.931813,-76.983824,http://www.zillow.com/local-info/DC-Washington/Brookland/r_121681/
Buena Vista,121682,38.861222,-76.989666,http://www.zillow.com/local-info/DC-Washington/Buena-Vista/r_121682/
Mount Vernon Square,121763,38.903028,-77.018101,http://www.zillow.com/local-info/DC-Washington/Mount-Vernon-Square/r_121763/
Forest Hills,121717,38.949073,-77.058198,http://www.zillow.com/local-info/DC-Washington/Forest-Hills/r_121717/
Randle Highlands,121777,38.868327,-76.972096,http://www.zillow.com/local-info/DC-Washington/Randle-Highlands/r_121777/
Benning Ridge,403493,38.881315,-76.938332,http://www.zillow.com/local-info/DC-Washington/Benning-Ridge/r_403493/
Congress Heights,121698,38.841644,-77.000494,http://www.zillow.com/local-info/DC-Washington/Congress-Heights/r_121698/
Trinidad,121799,38.905285,-76.985913,http://www.zillow.com/local-info/DC-Washington/Trinidad/r_121799/
Edgewood,121710,38.921687,-77.001773,http://www.zillow.com/local-info/DC-Washington/Edgewood/r_121710/
Bellevue,121674,38.820861,-77.014893,http://www.zillow.com/local-info/DC-Washington/Bellevue/r_121674/
Spring Valley,121791,38.940627,-77.096243,http://www.zillow.com/local-info/DC-Washington/Spring-Valley/r_121791/
Deanwood,121702,38.905273,-76.933644,http://www.zillow.com/local-info/DC-Washington/Deanwood/r_121702/
Woodley Park,121815,38.928581,-77.057572,http://www.zillow.com/local-info/DC-Washington/Woodley-Park/r_121815/
Bloomingdale,121677,38.91656,-77.012884,http://www.zillow.com/local-info/DC-Washington/Bloomingdale/r_121677/
Marshall Heights,121756,38.885181,-76.928021,http://www.zillow.com/local-info/DC-Washington/Marshall-Heights/r_121756/
Fort Dupont,121719,38.885313,-76.947812,http://www.zillow.com/local-info/DC-Washington/Fort-Dupont/r_121719/
Barney Circle,403486,38.881925,-76.975998,http://www.zillow.com/local-info/DC-Washington/Barney-Circle/r_403486/
Park View,121771,38.932221,-77.021089,http://www.zillow.com/local-info/DC-Washington/Park-View/r_121771/
Brentwood,268803,38.917262,-76.989818,http://www.zillow.com/local-info/DC-Washington/Brentwood/r_268803/
Anacostia,121670,38.86322,-76.984858,http://www.zillow.com/local-info/DC-Washington/Anacostia/r_121670/
Eckington,121709,38.91501,-77.00257,http://www.zillow.com/local-info/DC-Washington/Eckington/r_121709/
Wesley Heights,121807,38.931197,-77.087213,http://www.zillow.com/local-info/DC-Washington/Wesley-Heights/r_121807/
Woodridge,121816,38.935758,-76.970517,http://www.zillow.com/local-info/DC-Washington/Woodridge/r_121816/
Cathedral Heights,121687,38.92905,-77.077094,http://www.zillow.com/local-info/DC-Washington/Cathedral-Heights/r_121687/
Downtown,273489,38.899577,-77.032785,http://www.zillow.com/local-info/DC-Washington/Downtown/r_273489/
U Street Corridor,275794,38.91889,-77.031758,http://www.zillow.com/local-info/DC-Washington/U-Street-Corridor/r_275794/
Michigan Park,121761,38.946442,-76.992469,http://www.zillow.com/local-info/DC-Washington/Michigan-Park/r_121761/
Navy Yard,403116,38.875538,-76.99635,http://www.zillow.com/local-info/DC-Washington/Navy-Yard/r_403116/
Langston,403482,38.903459,-76.970381,http://www.zillow.com/local-info/DC-Washington/Langston/r_403482/
